               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055509,             0.51779,            0.018751,             0.65061,             0.49306,             0.50682,              0.2906,            0.049684,             0.45839,            0.015923,            0.006436,            0.006436,            0.006436
                  38,            0.056793,             0.51422,            0.019284,             0.66351,             0.48145,             0.50451,             0.28674,            0.050191,             0.45216,            0.016016,            0.006337,            0.006337,            0.006337
                  39,            0.056248,             0.50428,            0.018116,             0.65632,             0.46494,             0.50649,             0.27412,            0.051459,             0.46682,            0.015909,            0.006238,            0.006238,            0.006238
                  40,            0.055569,             0.50989,             0.01797,             0.64078,             0.49777,             0.51341,             0.29287,                0.05,             0.45595,            0.015732,            0.006139,            0.006139,            0.006139
                  41,            0.057048,              0.5457,            0.018594,              0.7201,             0.46961,             0.51474,             0.29742,            0.049454,             0.45276,            0.015865,             0.00604,             0.00604,             0.00604
                  42,            0.055414,             0.50129,            0.018459,             0.69214,             0.47711,             0.51973,             0.30134,             0.04936,              0.4521,            0.015782,            0.005941,            0.005941,            0.005941
                  43,            0.056307,             0.51325,            0.018776,             0.71288,             0.48537,             0.51986,             0.30271,            0.049313,             0.44834,            0.015807,            0.005842,            0.005842,            0.005842
                  44,            0.055701,             0.50653,            0.018505,             0.68698,             0.48687,             0.52028,             0.30495,             0.04904,             0.44623,            0.015754,            0.005743,            0.005743,            0.005743
                  45,            0.056347,              0.4989,            0.018837,             0.70168,              0.4852,             0.52547,              0.3002,            0.049641,             0.44848,            0.015701,            0.005644,            0.005644,            0.005644
                  46,            0.056478,             0.51073,            0.018873,             0.70839,              0.4737,             0.52188,             0.30496,            0.048934,             0.44959,            0.015656,            0.005545,            0.005545,            0.005545
                  47,            0.054946,             0.50308,            0.018371,             0.71552,             0.49364,             0.52347,             0.30589,            0.048857,             0.44693,            0.015566,            0.005446,            0.005446,            0.005446
                  48,            0.054636,             0.47926,            0.018447,             0.68874,             0.49461,             0.52584,             0.30703,            0.048833,             0.44437,            0.015538,            0.005347,            0.005347,            0.005347
                  49,            0.055248,             0.49853,            0.018346,             0.67151,             0.50125,             0.52489,             0.30357,            0.048948,             0.44732,             0.01555,            0.005248,            0.005248,            0.005248
                  50,            0.055798,             0.48869,            0.018179,             0.67602,             0.48914,             0.52307,             0.30283,            0.048849,             0.44482,            0.015534,            0.005149,            0.005149,            0.005149
                  51,            0.054937,             0.51671,            0.018587,             0.74067,             0.49186,             0.52426,             0.30822,            0.048647,             0.44083,            0.015533,             0.00505,             0.00505,             0.00505
                  52,            0.055775,             0.52004,             0.01825,             0.73936,              0.4707,             0.52593,             0.30504,             0.04887,             0.44265,            0.015594,            0.004951,            0.004951,            0.004951
                  53,            0.055547,             0.50808,            0.018009,             0.74196,             0.46955,             0.52709,             0.30859,            0.048829,             0.44147,            0.015563,            0.004852,            0.004852,            0.004852
                  54,            0.054677,             0.49075,            0.017978,              0.7487,             0.48526,             0.52874,             0.30957,             0.04874,             0.44181,            0.015517,            0.004753,            0.004753,            0.004753
                  55,            0.054567,             0.50941,            0.018202,             0.75129,             0.47389,             0.52027,              0.3056,            0.048512,             0.44162,            0.015554,            0.004654,            0.004654,            0.004654
                  56,            0.054789,             0.51375,            0.018343,             0.76283,             0.47843,             0.52612,              0.3066,             0.04838,             0.43911,            0.015451,            0.004555,            0.004555,            0.004555
                  57,            0.054867,             0.51743,            0.018617,              0.7632,             0.48262,              0.5377,             0.31515,            0.048321,             0.43957,            0.015454,            0.004456,            0.004456,            0.004456
                  58,            0.054574,             0.53268,            0.017979,             0.78427,             0.47738,             0.53897,              0.3122,            0.048448,             0.43678,            0.015323,            0.004357,            0.004357,            0.004357
                  59,            0.054459,             0.48894,            0.018114,             0.73915,             0.49345,              0.5355,             0.31414,            0.048441,             0.43878,             0.01528,            0.004258,            0.004258,            0.004258
                  60,            0.055177,             0.51026,            0.018118,             0.74146,             0.48859,             0.53784,             0.31272,            0.048441,             0.43911,            0.015143,            0.004159,            0.004159,            0.004159
                  61,            0.053732,             0.50489,            0.017252,             0.75553,             0.48942,             0.54185,             0.31928,            0.048349,             0.43832,            0.015223,             0.00406,             0.00406,             0.00406
                  62,            0.054454,             0.50126,            0.018131,             0.74817,             0.48351,             0.53799,             0.31245,            0.048377,             0.43824,             0.01532,            0.003961,            0.003961,            0.003961
                  63,            0.054525,             0.50563,            0.017445,             0.71765,             0.49485,             0.53718,             0.31382,            0.048273,             0.43743,            0.015315,            0.003862,            0.003862,            0.003862
                  64,            0.054793,             0.50181,            0.018196,             0.71543,              0.4935,             0.53799,             0.31798,            0.048092,             0.43559,            0.015229,            0.003763,            0.003763,            0.003763
                  65,            0.055646,              0.5213,            0.018111,             0.71791,             0.49583,             0.53818,             0.31803,            0.047987,             0.43469,            0.015202,            0.003664,            0.003664,            0.003664
                  66,             0.05344,             0.46479,             0.01713,             0.72642,             0.49903,             0.53979,             0.31757,            0.048025,             0.43778,            0.015162,            0.003565,            0.003565,            0.003565
                  67,            0.053822,             0.46888,            0.018108,             0.73401,             0.49135,             0.54179,             0.31931,            0.047932,             0.43312,            0.015154,            0.003466,            0.003466,            0.003466
                  68,            0.054337,             0.49653,            0.017968,             0.71075,             0.49979,             0.54685,             0.32193,             0.04779,             0.43244,              0.0151,            0.003367,            0.003367,            0.003367
